Time;Condition;OD;SD
0;KT2440_1/20;0,131333333;0,011532563
2;KT2440_1/20;0,163666667;0,018610033
4;KT2440_1/20;0,114333333;0,039357337
6;KT2440_1/20;0,1082;0,018770544
8;KT2440_1/20;0,201;0,014
10;KT2440_1/20;0,116;0,014
24;KT2440_1/20;0,149666667;0,018009257
30;KT2440_1/20;0,146333333;0,021931712
0;SA1_1/20;0,125333333;0,016643317
2;SA1_1/20;0,121333333;0,006658328
4;SA1_1/20;0,136666667;0,008621678
6;SA1_1/20;0,403333333;0,013796135
8;SA1_1/20;0,745666667;0,012013881
10;SA1_1/20;0,666666667;0,012013881
24;SA1_1/20;1,1;0,012096832
30;SA1_1/20;1,332;0,006027714
0;SA6_1/20;0,139;0,028919428
2;SA6_1/20;0,154;0,015373137
4;SA6_1/20;0,1021;0,007094599
6;SA6_1/20;0,102966667;0,025501634
8;SA6_1/20;0,103866667;0,027730849
10;SA6_1/20;0,202666667;0,071451615
24;SA6_1/20;0,807666667;0,077860987
30;SA6_1/20;0,857;0,066335008
0;SB1_1/20;0,137333333;0,007234178
2;SB1_1/20;0,22;0,005822657
4;SB1_1/20;0,293666667;0,007794229
6;SB1_1/20;0,357;0,034559128
8;SB1_1/20;0,413;0,011372481
10;SB1_1/20;0,444333333;0,022538855
24;SB1_1/20;0,694333333;0,052430907
30;SB1_1/20;0,668333333;0,041016257
0;SB8_1/20;0,105;0,004618802
2;SB8_1/20;0,125666667;0,011789826
4;SB8_1/20;0,459666667;0,029715316
6;SB8_1/20;0,777666667;0,025423087
8;SB8_1/20;0,737333333;0,011288194
10;SB8_1/20;0,856457233;0,012881944
24;SB8_1/20;0,850666667;0,106288914
30;SB8_1/20;0,842;0,087899564
0;WA5_1/20;0,104555555;0,01442867
2;WA5_1/20;0,179333333;0,005033223
4;WA5_1/20;0,259666667;0,013856406
6;WA5_1/20;0,393333333;0,021385353
8;WA5_1/20;0,815;0,016862186
10;WA5_1/20;0,935896;0,025566862
24;WA5_1/20;1,155333333;0,01266228
30;WA5_1/20;1,447333333;0,014502873
0;WB3_1/20;0,106366667;0,006806859
2;WB3_1/20;0,1047;0,00305505
4;WB3_1/20;0,107333333;0,003785939
6;WB3_1/20;0,132666667;0,003
8;WB3_1/20;0,216;0,001
10;WB3_1/20;0,34812634;0,003
24;WB3_1/20;1,078333333;0,026727015
30;WB3_1/20;1,133;0,008660254
0;WB8_1/20;0,1077;0,010503968
2;WB8_1/20;0,104033333;0,005507571
4;WB8_1/20;0,102966667;0,005686241
6;WB8_1/20;0,1023;0,002
8;WB8_1/20;0,101866667;0,004041452
10;WB8_1/20;0,1021;0,006244998
24;WB8_1/20;1,227666667;0,029331212
30;WB8_1/20;1,227333333;0,021228597
